;updated;high;low;open;close;volume;average
1136;1588453200;9197.48;8735.78;8981.11;8907.19;59476.78;8966.630000000001
1137;1588366800;9013.29;8768.81;8829.12;8981.11;36139.66;8891.05
1138;1588280400;9066.47;8631.39;8637.56;8829.12;70407.63;8848.93
1139;1588194000;9460.77;8416.64;8784.96;8637.56;161267.28;8938.705
1140;1588107600;8952.44;7733.02;7760.32;8784.96;157978.19;8342.73
1141;1588021200;7791.85;7671.26;7787.41;7760.32;38507.32;7731.555
1142;1587934800;7790.33;7639.98;7701.35;7787.41;48551.15;7715.155
1143;1587848400;7705.3;7497.88;7546.92;7701.35;33092.14;7601.59
1144;1587762000;7708.4;7445.98;7509.44;7546.92;30165.48;7577.19
1145;1587675600;7607.28;7408.35;7489.25;7509.44;51734.5;7507.815
1146;1587589200;7731.56;7041.2;7135.41;7489.25;81106.87;7386.38
1147;1587502800;7165.43;6831.44;6855.11;7135.41;43780.72;6998.435
1148;1587416400;6948.78;6779.51;6842.45;6855.11;44531.91;6864.145
1149;1587330000;7225.23;6770.07;7132.88;6842.45;64707.0;6997.65
1150;1587243600;7276.84;7072.33;7264.29;7132.88;29493.83;7174.585
1151;1587157200;7304.35;7028.43;7037.12;7264.29;35919.74;7166.39
1152;1587070800;7155.17;7005.79;7114.55;7037.12;45840.75;7080.48
1153;1586984400;7207.11;6487.08;6629.54;7114.55;98809.08;6847.094999999999
1154;1586898000;6937.49;6614.79;6879.44;6629.54;49708.81;6776.139999999999
1155;1586811600;6986.75;6773.97;6859.43;6879.44;44630.96;6880.360000000001
1156;1586725200;6913.76;6612.34;6913.76;6859.43;63091.4;6763.05
1157;1586638800;7199.97;6802.16;6887.6;6913.76;42382.58;7001.0650000000005
1158;1586552400;6956.27;6785.52;6876.49;6887.6;24917.32;6870.895
1159;1586466000;7304.8;6757.67;7294.55;6876.49;63355.47;7031.235000000001
1160;1586379600;7374.01;7124.88;7367.37;7294.55;44071.93;7249.445
1161;1586293200;7425.85;7157.96;7201.57;7367.37;60952.77;7291.905000000001
1162;1586206800;7462.51;7084.52;7347.22;7201.57;70648.16;7273.515
1163;1586120400;7359.05;6779.91;6781.64;7347.22;78676.82;7069.48
1164;1586034000;6910.39;6689.07;6875.95;6781.64;26776.41;6799.73
1165;1585947600;7010.45;6671.05;6743.68;6875.95;33774.99;6840.75
1166;1585861200;7044.01;6618.82;6804.42;6743.68;55578.32;6831.415
1167;1585774800;7245.15;6585.75;6663.63;6804.42;93059.32;6915.45
1168;1585688400;6716.04;6168.0;6423.61;6663.63;59228.61;6442.02
